📚 Total unique words to fetch: 3097
   C1: 2757
   C2: 340
   (skipped 4955 Oxford 5000 words)

🚀 Fetching 3097 words...
  [756/3097] aver... ❌ not found
  [757/3097] aversion... ❌ not found
  [758/3097] avulse... ❌ not found
  [759/3097] awash... ❌ not found
  [760/3097] awe... ❌ not found
  [761/3097] awl... ❌ not found
  [762/3097] awning... ❌ not found
  [763/3097] awry... ❌ not found
  [764/3097] axiomatic... ❌ not found
  [765/3097] babble... ❌ not found
  [766/3097] backhanded... ❌ not found
  [767/3097] badinage... ❌ not found
  [768/3097] bait... ❌ not found
  [769/3097] bale... ❌ not found
  [770/3097] baleful... ❌ not found
  [771/3097] balky... ❌ not found
  [772/3097] ballad... ❌ not found
  [773/3097] ballast... ❌ not found
  [774/3097] balm... ❌ not found
  [775/3097] bane... ❌ not found
  [776/3097] banister... ❌ not found
  [777/3097] banter... ❌ not found
  [778/3097] barb... ❌ not found
  [779/3097] barbarous... ✅ C1
  [780/3097] barefaced... ✅ C1
  [781/3097] baroque... ✅ C1
  [782/3097] barrage... ✅ C1
  [783/3097] barren... ✅ C1
  [784/3097] barricade... ✅ C1
  [785/3097] barter... ✅ C1
  [786/3097] baseboard... ✅ C1
  [787/3097] batch... ✅ C1
  [788/3097] bathetic... ✅ C1
  [789/3097] bawdy... ✅ C1
  [790/3097] bedeck... ✅ C1
  [791/3097] belabor... ✅ C1
  [792/3097] beleaguer... ✅ C1
  [793/3097] bellwether... ✅ C1
  [794/3097] beneficent... ✅ C1
  [795/3097] berate... ✅ C1
  [796/3097] beseech... ✅ C1
  [797/3097] bibliography... ✅ C1
  [798/3097] bifurcate... ✅ C1
  [799/3097] bigot... ✅ C1
  [800/3097] bland... ✅ C1
  [801/3097] blandishment... ✅ C1
  [802/3097] blasé... ✅ C1
  [803/3097] blazon... ✅ C1
  [804/3097] blemish... ✅ C1
  [805/3097] blight... ✅ C1
  [806/3097] bliss... ✅ C1
  [807/3097] blithe... ✅ C1
  [808/3097] blueprint... ✅ C1
  [809/3097] blunder... ✅ C1
  [810/3097] blunt... ✅ C1
  [811/3097] blur... ✅ C1
  [812/3097] blurb... ✅ C1
  [813/3097] blurt... ✅ C1
  [814/3097] bluster... ✅ C1
  [815/3097] bodyguard... ✅ C1
  [816/3097] boggle... ✅ C1
  [817/3097] boisterous... ✅ C1
  [818/3097] bombast... ✅ C1
  [819/3097] bonhomie... ✅ C1
  [820/3097] boo... ✅ C1
  [821/3097] boor... ✅ C1
  [822/3097] bootless... ✅ C1
  [823/3097] bouquet... ✅ C1
  [824/3097] boycott... ✅ C1
  [825/3097] bracing... ✅ C1
  [826/3097] bracket... ✅ C1
  [827/3097] braid... ✅ C1
  [828/3097] brake... ✅ C1
  [829/3097] brash... ✅ C1
  [830/3097] brassy... ✅ C1
  [831/3097] brattish... ✅ C1
  [832/3097] bravado... ✅ C1
  [833/3097] bravura... ✅ C1
  [834/3097] breezeway... ✅ C1
  [835/3097] brevity... ✅ C1
  [836/3097] bribe... ✅ C1
  [837/3097] bridle... ✅ C2
  [838/3097] brisk... ✅ C1
  [839/3097] bristle... ✅ C2
  [840/3097] brittle... ✅ C1
  [841/3097] broach... ✅ C1
  [842/3097] bromide... ✅ C2
  [843/3097] brook... ✅ C2
  [844/3097] browbeat... ✅ C2
  [845/3097] bruit... ✅ C1
  [846/3097] budge... ✅ C1
  [847/3097] buffoon... ✅ C1
  [848/3097] bulge... ✅ C1
  [849/3097] bully... ✅ C1
  [850/3097] bumptious... ✅ C1
  [851/3097] bungle... ✅ C1
  [852/3097] buoy... ✅ C1
  [853/3097] buoyant... ✅ C1
  [854/3097] burlesque... ✅ C1
  [855/3097] burnish... ✅ C1
  [856/3097] byline... ✅ C1
  [857/3097] byzantine... ✅ C2
  [858/3097] cache... ✅ C1
  [859/3097] cacophony... ✅ C1
  [860/3097] cadge... ✅ C1
  [861/3097] cajole... ✅ C1
  [862/3097] calcify... ✅ C1
  [863/3097] calibrate... ✅ C1
  [864/3097] calligraphy... ✅ C1
  [865/3097] callous... ✅ C1
  [866/3097] callow... ✅ C2
  [867/3097] callus... ✅ C1
  [868/3097] calorie... ✅ C1
  [869/3097] calumniate... ✅ C1
  [870/3097] camaraderie... ✅ C1
  [871/3097] cameo... ✅ C1
  [872/3097] camouflage... ✅ C1
  [873/3097] canard... ✅ C2
  [874/3097] candor... ✅ C1
  [875/3097] canon... ✅ C1
  [876/3097] canopy... ✅ C1
  [877/3097] canvass... ❌ not found
  [878/3097] canyon... ✅ C1
  [879/3097] capitulate... ✅ C2
  [880/3097] caprice... ✅ C1
  [881/3097] captivate... ✅ C1
  [882/3097] caret... ✅ C1
  [883/3097] careworn... ✅ C1
  [884/3097] caricature... ✅ C1
  [885/3097] carnal... ✅ C1
  [886/3097] carouse... ✅ C1
  [887/3097] carp... ✅ C1
  [888/3097] cartographer... ✅ C1
  [889/3097] catalyze... ✅ C1
  [890/3097] catastrophe... ✅ C1
  [891/3097] categorical... ✅ C1
  [892/3097] catholic... ✅ C2
  [893/3097] caustic... ✅ C1
  [894/3097] caveat... ✅ C1
  [895/3097] cavern... ✅ C1
  [896/3097] cavil... ✅ C1
  [897/3097] cavort... ✅ C1
  [898/3097] cede... ✅ C2
  [899/3097] cement... ✅ C1
  [900/3097] censorious... ✅ C1
  [901/3097] census... ✅ C1
  [902/3097] cessation... ✅ C1
  [903/3097] chaff... ✅ C1
  [904/3097] chagrin... ✅ C2
  [905/3097] chameleon... ✅ C1
  [906/3097] charade... ✅ C1
  [907/3097] charlatan... ✅ C2
  [908/3097] chary... ✅ C2
  [909/3097] chasm... ✅ C1
  [910/3097] chauvinistic... ✅ C1
  [911/3097] cherubic... ✅ C1
  [912/3097] chevron... ✅ C1
  [913/3097] chiaroscuro... ✅ C1
  [914/3097] chicanery... ✅ C1
  [915/3097] chide... ✅ C1
  [916/3097] choleric... ✅ C2
  [917/3097] chord... ✅ C1
  [918/3097] choreography... ✅ C1
  [919/3097] chorus... ✅ C1
  [920/3097] chromatic... ✅ C1
  [921/3097] chuckle... ✅ C1
  [922/3097] churl... ✅ C1
  [923/3097] cineast... ✅ C1
  [924/3097] cipher... ✅ C1
  [925/3097] circuitous... ✅ C1
  [926/3097] circular... ✅ C1
  [927/3097] circumference... ✅ C1
  [928/3097] circumlocution... ✅ C1
  [929/3097] circumspect... ✅ C1
  [930/3097] cistern... ✅ C1
  [931/3097] civility... ✅ C1
  [932/3097] clandestine... ✅ C1
  [933/3097] clarion... ✅ C1
  [934/3097] clasp... ✅ C1
  [935/3097] cleft... ✅ C1
  [936/3097] clement... ✅ C1
  [937/3097] cliche... ✅ C1
  [938/3097] clique... ✅ C1
  [939/3097] clog... ✅ C1
  [940/3097] clot... ✅ C1
  [941/3097] cloture... ✅ C1
  [942/3097] cloudburst... ✅ C1
  [943/3097] clout... ✅ C1
  [944/3097] cloying... ✅ C1
  [945/3097] clumsy... ✅ C1
  [946/3097] coagulant... ✅ C1
  [947/3097] coax... ✅ C1
  [948/3097] coda... ✅ C1
  [949/3097] coerce... ✅ C1
  [950/3097] coeval... ✅ C1
  [951/3097] cognizant... ✅ C1
  [952/3097] colander... ✅ C1
  [953/3097] collude... ✅ C1
  [954/3097] colonnade... ✅ C1
  [955/3097] coltish... ✅ C1
  [956/3097] coma... ✅ C1
  [957/3097] combustible... ✅ C1
  [958/3097] comely... ✅ C1
  [959/3097] comity... ✅ C1
  [960/3097] commencement... ✅ C1
  [961/3097] commend... ✅ C1
  [962/3097] commingle... ✅ C1
  [963/3097] committed... ✅ C1
  [964/3097] commodious... ✅ C1
  [965/3097] commonsensical... ❌ not found
  [966/3097] commotion... ✅ C1
  [967/3097] compendium... ✅ C1
  [968/3097] complacency... ✅ C1
  [969/3097] complaisance... ❌ not found
  [970/3097] compliant... ✅ C1
  [971/3097] compliment... ✅ C1
  [972/3097] composed... ✅ C1
  [973/3097] compress... ✅ C1
  [974/3097] compunction... ✅ C1
  [975/3097] concatenate... ✅ C1
  [976/3097] concave... ✅ C1
  [977/3097] concerted... ✅ C1
  [978/3097] conciliate... ✅ C2
  [979/3097] concise... ✅ C1
  [980/3097] concord... ✅ C1
  [981/3097] concur... ✅ C1
  [982/3097] condescending... ✅ C1
  [983/3097] condign... ✅ C1
  [984/3097] condole... ✅ C1
  [985/3097] condone... ✅ C1
  [986/3097] conductor... ✅ C1
  [987/3097] confluence... ✅ C1
  [988/3097] congeal... ✅ C1
  [989/3097] congenial... ✅ C1
  [990/3097] congruent... ✅ C1
  [991/3097] conjecture... ✅ C1
  [992/3097] connive... ✅ C1
  [993/3097] connoisseur... ✅ C1
  [994/3097] conscientious... ✅ C1
  [995/3097] conservatory... ✅ C1
  [996/3097] console... ✅ C1
  [997/3097] consonant... ✅ C1
  [998/3097] constrain... ✅ C1
  [999/3097] constringe... ❌ not found
  [1000/3097] contagious... ✅ C1
  [1001/3097] contaminate... ✅ C1
  [1002/3097] contentious... ✅ C2
  [1003/3097] contiguous... ✅ C1
  [1004/3097] contort... ✅ C1
  [1005/3097] contravene... ✅ C1
  [1006/3097] contumacious... ✅ C1
  [1007/3097] convalesce... ✅ C1
  [1008/3097] convergent... ✅ C1
  [1009/3097] conversant... ✅ C1
  [1010/3097] convex... ✅ C1
  [1011/3097] convoke... ✅ C1
  [1012/3097] convulsion... ✅ C1
  [1013/3097] coop... ✅ C1
  [1014/3097] coquette... ✅ C1
  [1015/3097] cord... ✅ C1
  [1016/3097] cordon... ✅ C1
  [1017/3097] corona... ✅ C1
  [1018/3097] coronation... ✅ C1
  [1019/3097] corporeal... ✅ C1
  [1020/3097] corrosive... ✅ C1
  [1021/3097] corrugated... ✅ C1
  [1022/3097] cosset... ✅ C1
  [1023/3097] countenance... ✅ C1
  [1024/3097] counterfeit... ✅ C1
  [1025/3097] countermand... ✅ C2
  [1026/3097] coven... ✅ C1
  [1027/3097] covert... ✅ C1
  [1028/3097] covetous... ✅ C1
  [1029/3097] cowardice... ✅ C1
  [1030/3097] cower... ✅ C1
  [1031/3097] cozen... ✅ C1
  [1032/3097] cramped... ✅ C1
  [1033/3097] crass... ✅ C1
  [1034/3097] crave... ✅ C1
  [1035/3097] crease... ✅ C1
  [1036/3097] credulous... ✅ C1
  [1037/3097] creek... ✅ C1
  [1038/3097] crescendo... ✅ C1
  [1039/3097] crest... ✅ C1
  [1040/3097] crestfallen... ✅ C2
  [1041/3097] cronyism... ✅ C1
  [1042/3097] crook... ✅ C1
  [1043/3097] croon... ✅ C1
  [1044/3097] crouch... ✅ C1
  [1045/3097] crumple... ✅ C1
  [1046/3097] crutch... ✅ C1
  [1047/3097] crux... ✅ C1
  [1048/3097] cuisine... ✅ C1
  [1049/3097] culpable... ✅ C1
  [1050/3097] cunning... ✅ C1
  [1051/3097] curator... ✅ C1
  [1052/3097] curmudgeon... ✅ C2
  [1053/3097] cursory... ✅ C1
  [1054/3097] curt... ✅ C1
  [1055/3097] curtail... ✅ C1
  [1056/3097] cynic... ✅ C1
  [1057/3097] dabble... ✅ C1
  [1058/3097] daft... ✅ C1
  [1059/3097] daguerreotype... ✅ C1
  [1060/3097] dais... ✅ C1
  [1061/3097] dally... ✅ C1
  [1062/3097] damper... ✅ C1
  [1063/3097] dandy... ✅ C1
  [1064/3097] dank... ✅ C1
  [1065/3097] dapper... ✅ C1
  [1066/3097] dappled... ✅ C1
  [1067/3097] daredevil... ✅ C1
  [1068/3097] dart... ✅ C1
  [1069/3097] daunt... ✅ C1
  [1070/3097] dawdle... ✅ C1
  [1071/3097] deadpan... ✅ C1
  [1072/3097] debacle... ✅ C1
  [1073/3097] debark... ✅ C1
  [1074/3097] debilitate... ✅ C1
  [1075/3097] decant... ✅ C1
  [1076/3097] decibel... ✅ C1
  [1077/3097] decipher... ✅ C1
  [1078/3097] decode... ✅ C1
  [1079/3097] decrepit... ✅ C1
  [1080/3097] defer... ✅ C1
  [1081/3097] deference... ✅ C1
  [1082/3097] defile... ✅ C1
  [1083/3097] defoliant... ✅ C1
  [1084/3097] deforest... ✅ C1
  [1085/3097] deft... ✅ C1
  [1086/3097] defuse... ✅ C1
  [1087/3097] dehydrate... ✅ C1
  [1088/3097] deify... ✅ C1
  [1089/3097] deject... ✅ C1
  [1090/3097] delicacy... ✅ C1
  [1091/3097] delirium... ✅ C1
  [1092/3097] delusion... ✅ C1
  [1093/3097] deluge... ✅ C1
  [1094/3097] delve... ✅ C1
  [1095/3097] demagogue... ✅ C1
  [1096/3097] demanding... ✅ C1
  [1097/3097] demolition... ✅ C1
  [1098/3097] demoralize... ✅ C1
  [1099/3097] demotic... ✅ C1
  [1100/3097] denouement... ✅ C2
  [1101/3097] dent... ✅ C1
  [1102/3097] denude... ✅ C1
  [1103/3097] deplete... ✅ C1
  [1104/3097] deplore... ✅ C1
  [1105/3097] deportation... ✅ C1
  [1106/3097] depose... ✅ C1
  [1107/3097] depravity... ✅ C1
  [1108/3097] deprecate... ✅ C1
  [1109/3097] depreciate... ✅ C1
  [1110/3097] depressant... ✅ C1
  [1111/3097] deprivation... ✅ C1
  [1112/3097] deracinate... ✅ C1
  [1113/3097] derelict... ✅ C2
  [1114/3097] descendant... ✅ C1
  [1115/3097] desiccate... ✅ C1
  [1116/3097] despicable... ✅ C1
  [1117/3097] despise... ✅ C1
  [1118/3097] despotic... ✅ C1
  [1119/3097] dessert... ✅ C1
  [1120/3097] desultory... ✅ C1
  [1121/3097] detach... ✅ C1
  [1122/3097] deterioration... ✅ C1
  [1123/3097] detour... ✅ C1
  [1124/3097] detoxification... ✅ C1
  [1125/3097] detract... ✅ C1
  [1126/3097] detritus... ✅ C1
  [1127/3097] devoted... ✅ C1
  [1128/3097] devout... ✅ C1
  [1129/3097] dew... ✅ C1
  [1130/3097] dexterous... ✅ C1
  [1131/3097] diabolic... ✅ C1
  [1132/3097] diaphanous... ✅ C1
  [1133/3097] diatribe... ✅ C2
  [1134/3097] diehard... ✅ C1
  [1135/3097] diffuse... ✅ C1
  [1136/3097] digit... ✅ C1
  [1137/3097] digress... ✅ C1
  [1138/3097] dilapidate... ✅ C1
  [1139/3097] dilate... ✅ C1
  [1140/3097] dilute... ✅ C1
  [1141/3097] din... ✅ C1
  [1142/3097] dingy... ✅ C1
  [1143/3097] diocesan... ✅ C1
  [1144/3097] dire... ✅ C1
  [1145/3097] dirge... ✅ C1
  [1146/3097] disabuse... ✅ C2
  [1147/3097] disarm... ✅ C1
  [1148/3097] disarray... ✅ C1
  [1149/3097] disavow... ✅ C1
  [1150/3097] discern... ✅ C1
  [1151/3097] disciple... ✅ C1
  [1152/3097] discombobulate... ✅ C1
  [1153/3097] discomfit... ✅ C1
  [1154/3097] discommode... ✅ C1
  [1155/3097] discompose... ✅ C1
  [1156/3097] disconcert... ✅ C1
  [1157/3097] discredit... ✅ C1
  [1158/3097] discrepancy... ✅ C1
  [1159/3097] discretionary... ✅ C1
  [1160/3097] discursive... ✅ C2
  [1161/3097] disdain... ✅ C1
  [1162/3097] disengage... ✅ C1
  [1163/3097] disgorge... ✅ C1
  [1164/3097] disgruntle... ✅ C1
  [1165/3097] disguise... ✅ C1
  [1166/3097] disinclination... ✅ C1
  [1167/3097] disinfect... ✅ C1
  [1168/3097] disjointed... ✅ C1
  [1169/3097] disinter... ✅ C1
  [1170/3097] disjunctive... ✅ C1
  [1171/3097] dismantle... ✅ C1
  [1172/3097] dismay... ✅ C1
  [1173/3097] disparage... ✅ C1
  [1174/3097] disregard... ✅ C1
  [1175/3097] dissect... ✅ C1
  [1176/3097] dissemble... ✅ C2
  [1177/3097] dissension... ✅ C1
  [1178/3097] dissent... ✅ C1
  [1179/3097] dissipate... ✅ C2
  [1180/3097] dissolute... ✅ C1
  [1181/3097] dissonance... ✅ C1
  [1182/3097] dissuade... ✅ C1
  [1183/3097] distain... ❌ not found
  [1184/3097] distal... ✅ C1
  [1185/3097] distend... ✅ C1
  [1186/3097] distill... ✅ C1
  [1187/3097] distraught... ✅ C1
  [1188/3097] ditty... ✅ C1
  [1189/3097] diurnal... ✅ C1
  [1190/3097] diverge... ✅ C1
  [1191/3097] divestiture... ✅ C1
  [1192/3097] divulge... ✅ C1
  [1193/3097] dodder... ✅ C1
  [1194/3097] dodge... ✅ C1
  [1195/3097] doff... ✅ C1
  [1196/3097] dogged... ✅ C1
  [1197/3097] doggerel... ✅ C1
  [1198/3097] dogma... ✅ C1
  [1199/3097] doldrums... ✅ C1
  [1200/3097] dolorous... ✅ C2
  [1201/3097] dolt... ✅ C1
  [1202/3097] domicile... ✅ C1
  [1203/3097] domination... ✅ C1
  [1204/3097] don... ✅ C1
  [1205/3097] doodle... ✅ C1
  [1206/3097] dormant... ✅ C1
  [1207/3097] dour... ✅ C1
  [1208/3097] douse... ✅ C1
  [1209/3097] downplay... ✅ C1
  [1210/3097] downpour... ✅ C1
  [1211/3097] doyen... ✅ C1
  [1212/3097] doze... ✅ C1
  [1213/3097] draconian... ✅ C1
  [1214/3097] drawl... ✅ C1
  [1215/3097] dreary... ✅ C1
  [1216/3097] drench... ✅ C1
  [1217/3097] drivel... ✅ C1
  [1218/3097] drizzle... ✅ C1
  [1219/3097] droll... ❌ not found
  [1220/3097] drone... ❌ not found
  [1221/3097] drudgery... ❌ not found
  [1222/3097] dubious... ❌ not found
  [1223/3097] ductile... ❌ not found
  [1224/3097] dulcet... ❌ not found
  [1225/3097] dullard... ❌ not found
  [1226/3097] dune... ❌ not found
  [1227/3097] duplicity... ❌ not found
  [1228/3097] dwindle... ❌ not found
  [1229/3097] dyspeptic... ❌ not found
  [1230/3097] dyslexia... ❌ not found
  [1231/3097] eaglet... ❌ not found
  [1232/3097] earnest... ❌ not found
  [1233/3097] earplug... ❌ not found
  [1234/3097] earshot... ❌ not found
  [1235/3097] earsplitting... ❌ not found
  [1236/3097] easel... ❌ not found
  [1237/3097] eavesdrop... ❌ not found
  [1238/3097] ebullient... ❌ not found
  [1239/3097] eclat... ❌ not found
  [1240/3097] eclipse... ❌ not found
  [1241/3097] ecstasy... ❌ not found
  [1242/3097] ecumenical... ❌ not found
  [1243/3097] eddy... ❌ not found
  [1244/3097] edible... ❌ not found
  [1245/3097] edifice... ❌ not found
  [1246/3097] efface... ❌ not found
  [1247/3097] effervesce... ❌ not found
  [1248/3097] effete... ❌ not found
  [1249/3097] effluvium... ✅ C1
  [1250/3097] effrontery... ✅ C2
  [1251/3097] effulgence... ❌ not found
  [1252/3097] effusive... ✅ C1
  [1253/3097] egalitarian... ✅ C1
  [1254/3097] egoism... ✅ C1
  [1255/3097] elastic... ✅ C1
  [1256/3097] elate... ✅ C1
  [1257/3097] eleemosynary... ✅ C1
  [1258/3097] elegy... ✅ C1
  [1259/3097] elephantine... ✅ C1
  [1260/3097] ellipsis... ✅ C1
  [1261/3097] elliptical... ✅ C1
  [1262/3097] emaciate... ❌ not found
  [1263/3097] emancipate... ✅ C1
  [1264/3097] embargo... ✅ C1
  [1265/3097] embarrass... ✅ C1
  [1266/3097] embezzle... ✅ C1
  [1267/3097] embolden... ✅ C1
  [1268/3097] emboss... ✅ C1
  [1269/3097] embroider... ✅ C1
  [1270/3097] emigrate... ✅ C1
  [1271/3097] eminence... ✅ C1
  [1272/3097] emollient... ✅ C1
  [1273/3097] enamel... ✅ C1
  [1274/3097] encomium... ✅ C1
  [1275/3097] encumber... ✅ C2
  [1276/3097] enfranchise... ✅ C1
  [1277/3097] engross... ✅ C1
  [1278/3097] enigma... ✅ C1
  [1279/3097] enlighten... ✅ C1
  [1280/3097] ennoble... ✅ C1
  [1281/3097] ennui... ✅ C1
  [1282/3097] ensemble... ❌ not found
  [1283/3097] ensconce... ❌ not found
  [1284/3097] entangle... ❌ not found
  [1285/3097] entrap... ❌ not found
  [1286/3097] entreat... ❌ not found
  [1287/3097] enunciate... ❌ not found
  [1288/3097] epaulet... ❌ not found
  [1289/3097] epic... ❌ not found
  [1290/3097] epicure... ❌ not found
  [1291/3097] epidermis... ❌ not found
  [1292/3097] epigram... ❌ not found
  [1293/3097] epilogue... ❌ not found
  [1294/3097] epistemology... ❌ not found
  [1295/3097] epitaph... ❌ not found
  [1296/3097] epithet... ❌ not found
  [1297/3097] epitome... ❌ not found
  [1298/3097] equable... ❌ not found
  [1299/3097] equity... ❌ not found
  [1300/3097] equivocate... ❌ not found
  [1301/3097] erode... ❌ not found
  [1302/3097] esteem... ❌ not found
  [1303/3097] estimable... ❌ not found
  [1304/3097] estrange... ❌ not found
  [1305/3097] etch... ❌ not found
  [1306/3097] ethereal... ❌ not found
  [1307/3097] ethics... ❌ not found
  [1308/3097] eulogize... ❌ not found
  [1309/3097] euphemism... ❌ not found
  [1310/3097] euphonious... ❌ not found
  [1311/3097] evanescent... ❌ not found
  [1312/3097] evasion... ❌ not found
  [1313/3097] everlasting... ✅ C1
  [1314/3097] evict... ✅ C1
  [1315/3097] evince... ✅ C1
  [1316/3097] ewe... ✅ C1
  [1317/3097] excavate... ✅ C1
  [1318/3097] excerpt... ✅ C1
  [1319/3097] excoriate... ✅ C2
  [1320/3097] excrete... ✅ C1
  [1321/3097] excruciate... ✅ C1
  [1322/3097] exculpate... ✅ C1
  [1323/3097] excursive... ✅ C1
  [1324/3097] execrate... ✅ C2
  [1325/3097] exemplary... ✅ C1
  [1326/3097] exempt... ✅ C1
  [1327/3097] exhaust... ✅ C1
  [1328/3097] exhilarate... ✅ C1
  [1329/3097] exigent... ✅ C1
  [1330/3097] exodus... ✅ C1
  [1331/3097] exorbitant... ✅ C2
  [1332/3097] expansive... ✅ C2
  [1333/3097] expedite... ✅ C1
  [1334/3097] expiate... ✅ C1
  [1335/3097] exponent... ✅ C1
  [1336/3097] expurgate... ✅ C2
  [1337/3097] exquisite... ✅ C1
  [1338/3097] extemporize... ✅ C1
  [1339/3097] extenuate... ✅ C1
  [1340/3097] extinct... ✅ C1
  [1341/3097] extinguish... ✅ C1
  [1342/3097] extol... ✅ C1
  [1343/3097] extort... ✅ C1
  [1344/3097] extraction... ✅ C1
  [1345/3097] extraneous... ✅ C1
  [1346/3097] extravagant... ✅ C1
  [1347/3097] extricate... ✅ C1
  [1348/3097] exuberant... ✅ C1
  [1349/3097] exude... ✅ C1
  [1350/3097] exult... ✅ C1
  [1351/3097] fable... ✅ C1
  [1352/3097] fabricate... ✅ C1
  [1353/3097] facile... ✅ C2
  [1354/3097] fallacy... ✅ C1
  [1355/3097] fallow... ✅ C1
  [1356/3097] fail-safe... ✅ C1
  [1357/3097] falsehood... ✅ C1
  [1358/3097] falter... ✅ C1
  [1359/3097] fanatic... ✅ C1
  [1360/3097] farce... ✅ C1
  [1361/3097] fascinate... ✅ C1
  [1362/3097] fateful... ✅ C1
  [1363/3097] fathom... ✅ C1
  [1364/3097] fatigue... ✅ C1
  [1365/3097] fatuous... ✅ C1
  [1366/3097] faultfinder... ❌ not found
  [1367/3097] favorable... ✅ C1
  [1368/3097] faze... ✅ C1
  [1369/3097] feckless... ✅ C2
  [1370/3097] fecund... ✅ C2
  [1371/3097] feeble... ✅ C1
  [1372/3097] feign... ✅ C1
  [1373/3097] fender... ✅ C1
  [1374/3097] feral... ✅ C1
  [1375/3097] ferrous... ✅ C1
  [1376/3097] fertilize... ✅ C1
  [1377/3097] fervid... ✅ C1
  [1378/3097] fervor... ✅ C1
  [1379/3097] fester... ✅ C1
  [1380/3097] fetid... ✅ C1
  [1381/3097] fetter... ✅ C1
  [1382/3097] fiasco... ✅ C1
  [1383/3097] fictitious... ✅ C1
  [1384/3097] fidelity... ✅ C1
  [1385/3097] fidget... ✅ C1
  [1386/3097] figurative... ✅ C1
  [1387/3097] figurehead... ✅ C1
  [1388/3097] figurine... ✅ C1
  [1389/3097] filibuster... ✅ C1
  [1390/3097] filigree... ✅ C1
  [1391/3097] filing... ✅ C1
  [1392/3097] filly... ✅ C1
  [1393/3097] finale... ✅ C1
  [1394/3097] finch... ✅ C1
  [1395/3097] finesse... ✅ C1
  [1396/3097] finicky... ✅ C1
  [1397/3097] flaccid... ✅ C1
  [1398/3097] flamboyant... ✅ C1
  [1399/3097] flatter... ✅ C1
  [1400/3097] flax... ✅ C1
  [1401/3097] fledge... ✅ C1
  [1402/3097] flinch... ✅ C1
  [1403/3097] flippancy... ✅ C1
  [1404/3097] flirt... ✅ C1
  [1405/3097] flit... ✅ C1
  [1406/3097] flock... ✅ C1
  [1407/3097] florid... ✅ C1
  [1408/3097] flout... ✅ C1
  [1409/3097] fluctuate... ✅ C1
  [1410/3097] fluent... ✅ C1
  [1411/3097] fluke... ✅ C1
  [1412/3097] fluster... ✅ C1
  [1413/3097] fluvial... ✅ C1
  [1414/3097] foil... ✅ C1
  [1415/3097] foliage... ✅ C1
  [1416/3097] foolproof... ✅ C1
  [1417/3097] footloose... ✅ C1
  [1418/3097] forebear... ✅ C1
  [1419/3097] forbearance... ✅ C1
  [1420/3097] ford... ✅ C1
  [1421/3097] forestall... ✅ C1
  [1422/3097] foreword... ✅ C1
  [1423/3097] forger... ✅ C1
  [1424/3097] formidable... ✅ C1
  [1425/3097] fortify... ✅ C1
  [1426/3097] fracas... ✅ C1
  [1427/3097] fracture... ✅ C1
  [1428/3097] frail... ✅ C1
  [1429/3097] fraudulent... ✅ C1
  [1430/3097] fraught... ✅ C1
  [1431/3097] freelancer... ✅ C1
  [1432/3097] frenzy... ✅ C1
  [1433/3097] fresco... ✅ C1
  [1434/3097] fret... ✅ C1
  [1435/3097] friable... ✅ C1
  [1436/3097] friction... ✅ C1
  [1437/3097] frieze... ✅ C1
  [1438/3097] frigid... ✅ C1
  [1439/3097] fringe... ✅ C1
  [1440/3097] frond... ✅ C1
  [1441/3097] frothy... ✅ C1
  [1442/3097] frowsy... ✅ C1
  [1443/3097] full-bodied... ✅ C1
  [1444/3097] fulminate... ✅ C1
  [1445/3097] fumble... ✅ C1
  [1446/3097] fungi... ✅ C1
  [1447/3097] furnace... ✅ C1
  [1448/3097] furor... ✅ C1
  [1449/3097] fury... ✅ C1
  [1450/3097] fussy... ✅ C1
  [1451/3097] fusty... ✅ C1
  [1452/3097] gadfly... ✅ C1
  [1453/3097] gadget... ✅ C1
  [1454/3097] gaffe... ✅ C2
  [1455/3097] gait... ✅ C1
  [1456/3097] galaxy... ✅ C1
  [1457/3097] gallant... ✅ C1
  [1458/3097] galley... ✅ C1
  [1459/3097] gamble... ✅ C1
  [1460/3097] gambol... ✅ C1
  [1461/3097] gangly... ✅ C1
  [1462/3097] gangway... ✅ C1
  [1463/3097] garble... ✅ C1
  [1464/3097] gargantuan... ✅ C1
  [1465/3097] garish... ✅ C1
  [1466/3097] garment... ✅ C1
  [1467/3097] gash... ✅ C1
  [1468/3097] gasification... ❌ not found
  [1469/3097] gaudy... ✅ C1
  [1470/3097] gauge... ✅ C1
  [1471/3097] gerrymander... ✅ C2
  [1472/3097] geyser... ✅ C1
  [1473/3097] gibe... ❌ not found
  [1474/3097] giddy... ❌ not found
  [1475/3097] gild... ❌ not found
  [1476/3097] girder... ❌ not found
  [1477/3097] gist... ❌ not found
  [1478/3097] glacier... ❌ not found
  [1479/3097] glade... ❌ not found
  [1480/3097] gladiator... ❌ not found
  [1481/3097] glaze... ❌ not found
  [1482/3097] glisten... ❌ not found
  [1483/3097] glitch... ❌ not found
  [1484/3097] gloat... ❌ not found
  [1485/3097] gloomy... ❌ not found
  [1486/3097] gloss... ❌ not found
  [1487/3097] glossary... ❌ not found
  [1488/3097] glossy... ❌ not found
  [1489/3097] glutinous... ❌ not found
  [1490/3097] glutton... ❌ not found
  [1491/3097] gobble... ❌ not found
  [1492/3097] goggle... ❌ not found
  [1493/3097] goldbrick... ❌ not found
  [1494/3097] gorge... ❌ not found
  [1495/3097] gourmand... ❌ not found
  [1496/3097] gourmet... ❌ not found
